label,pattern,attr,replace,category,notes
color,black,lower,,,
color,blue,lower,,,
color,brown,lower,,,
color,cream,lower,white,,
color,cream-yellow,lower,yellow,,
color,creamy,lower,white,,
color,crimson,lower,red,,
color,glaucous-pink,lower,pink,,
color,gold,lower,,,
color,golden,lower,,,
color,golden-yellow,lower,yellow,,
color,gray,lower,,,
color,gray-green,lower,,,
color,green,lower,,,
color,grey,lower,,,
color,grey-green,lower,,,
color,ivory,lower,white,,
color,ivory-white,lower,white,,
color,lavendar,lower,purple,,Common misspelling
color,lavender,lower,purple,,
color,lemon,lower,yellow,,
color,lilac,lower,purple,,
color,maroon,lower,red-brown,,
color,olive,lower,,,
color,olive-green,lower,green,,
color,orange,lower,,,
color,orange-pink,lower,,,
color,pink,lower,,,
color,pink-purple,lower,,,
color,pink-violet,lower,pink-purple,,
color,purple,lower,,,
color,red,lower,,,
color,red-brown,lower,,,
color,rose,lower,pink,,
color,rose-coloured,lower,pink,,
color,salmon,lower,,,
color,salmon-pink,lower,orange-pink,,
color,scarlet,lower,red,,
color,silver,lower,,,
color,stramineous,lower,yellow,,
color,straw-colored,lower,yellow,,
color,sulphur-yellow,lower,yellow,,
color,tan,lower,,,
color,violet,lower,purple,,
color,white,lower,,,
color,yellow,lower,,,
color_follower,colored,lower,,,
color_follower,lined,lower,,,
color_follower,lines,lower,,,
color_follower,longitudinal,lower,,,
color_follower,mottled,lower,,,
color_follower,spot,lower,,,
color_follower,spots,lower,,,
color_follower,spotted,lower,,,
color_follower,stripe,lower,,,
color_follower,striped,lower,,,
color_follower,stripes,lower,,,
color_follower,throated,lower,,,
color_follower,tinge,lower,,,
color_follower,tinged,lower,,,
color_follower,tinges,lower,,,
color_follower,tip,lower,,,
color_follower,tipped,lower,,,
color_follower,tips,lower,,,
color_follower,vein,lower,,,
color_follower,veined,lower,,,
color_follower,veins,lower,,,
color_leader,blackish,lower,black,,
color_leader,blueish,lower,blue,,
color_leader,brownish,lower,brown,,
color_leader,grayish,lower,gray,,
color_leader,greenish,lower,green,,
color_leader,greyish,lower,gray,,
color_leader,pinkish,lower,pink,,
color_leader,purpleish,lower,purple,,Common misspelling
color_leader,purplish,lower,purple,,
color_leader,reddish,lower,red,,
color_leader,silvery,lower,silver,,
color_leader,violetish,lower,purple,,
color_leader,whitish,lower,white,,
color_leader,yellowish,lower,yellow,,
conj,and,lower,,,TODO: Use POS instead
conj,or,lower,,,TODO: Use POS instead
dimension,dia,lower,diameter,,
dimension,diam,lower,diameter,,
dimension,diameter,lower,diameter,,
dimension,length,lower,length,,
dimension,long,lower,length,,
dimension,radius,lower,radius,,
dimension,wide,lower,width,,
dimension,width,lower,width,,
length_units,centimeters,lower,cm,10,
length_units,cm,lower,cm,10,
length_units,m,lower,m,1000,
length_units,meters,lower,m,1000,
length_units,millimeters,lower,mm,1,
length_units,mm,lower,mm,1,
length_units,µm,lower,µm,0.001,
lobes,leaf lobe,lower,,,
lobes,leaf lobes,lower,,,
lobes,lobe,lower,,,
lobes,lobes,lower,,,
lobes,unlobed,lower,,,
no_count,average,lower,,,
no_count,side,lower,,,
no_count,times,lower,,,
no_count,with,lower,,,
part_location,adventitious,lower,,,
part_location,basal,lower,,,
part_location,cauline,lower,,,
part_location,dorsal,lower,,,
part_location,lateral,lower,,,
part_location,radical,lower,,,
part_location,terminal,lower,,,
plant_part,2 n,lower,2n,,
plant_part,2n,lower,2n,,
plant_part,achene,lower,fruit,,
plant_part,achenes,lower,fruit,,
plant_part,androecia,lower,stamen,flower,
plant_part,androecium,lower,stamen,flower,
plant_part,anther,lower,anther,flower,
